Subnum,Condition,Order,BestOption_IGT,BestOption_SGT,HighFreqOption_IGT,HighFreqOption_SGT
96,Urban,SGT_IGT,0.41,0.29,0.82,0.71
97,Control,SGT_IGT,0.39,0.16,0.41,0.84
98,Control,SGT_IGT,0.58,0.25,0.61,0.75
99,Control,SGT_IGT,0.68,0.62,0.58,0.38
100,Urban,SGT_IGT,0.74,0.54,0.3,0.46
101,Urban,SGT_IGT,0.8,0.68,0.45,0.32
102,Control,SGT_IGT,0.37,0.31,0.77,0.69
103,Nature,SGT_IGT,0.67,0.23,0.39,0.77
104,Urban,SGT_IGT,0.39,0.06,0.69,0.94
105,Control,SGT_IGT,0.45,0.33,0.59,0.67
106,Control,SGT_IGT,0.6,0.72,0.69,0.28
107,Urban,SGT_IGT,0.47,0.35,0.52,0.65
108,Urban,SGT_IGT,0.48,0.41,0.5,0.59
109,Control,SGT_IGT,0.45,0.38,0.5,0.62
110,Urban,SGT_IGT,0.54,0.25,0.48,0.75
111,Control,SGT_IGT,0.53,0.2,0.49,0.8
112,Control,SGT_IGT,0.53,0.12,0.55,0.88
113,Urban,SGT_IGT,0.48,0.3,0.52,0.7
114,Urban,SGT_IGT,0.57,0.33,0.56,0.67
115,Control,SGT_IGT,0.5,0.09,0.62,0.91
116,Urban,SGT_IGT,0.55,0.52,0.49,0.48
117,Nature,SGT_IGT,0.71,0.37,0.31,0.63
118,Urban,SGT_IGT,0.79,0.57,0.24,0.43
119,Nature,SGT_IGT,0.67,0.15,0.48,0.85
120,Nature,SGT_IGT,0.62,0.52,0.3,0.48
121,Control,SGT_IGT,0.75,0.67,0.79,0.33
122,Urban,SGT_IGT,0.64,0.11,0.44,0.89
123,Control,SGT_IGT,0.86,0.31,0.19,0.69
124,Control,SGT_IGT,0.58,0.3,0.43,0.7
125,Urban,SGT_IGT,0.37,0.1,0.55,0.9
126,Urban,SGT_IGT,0.74,0.4,0.32,0.6
127,Control,SGT_IGT,0.46,0.42,0.46,0.58
128,Urban,SGT_IGT,0.69,0.1,0.35,0.9
129,Nature,SGT_IGT,0.55,0.18,0.53,0.82
130,Control,SGT_IGT,0.71,0.07,0.54,0.93
131,Control,SGT_IGT,0.71,0.62,0.78,0.38
132,Nature,SGT_IGT,0.41,0.23,0.77,0.77
133,Urban,SGT_IGT,0.65,0.07,0.49,0.93
134,Nature,SGT_IGT,0.7,0.47,0.57,0.53
135,Nature,SGT_IGT,0.78,0.42,0.8,0.58
136,Control,SGT_IGT,0.57,0.29,0.57,0.71
137,Urban,SGT_IGT,0.51,0.31,0.48,0.69
138,Urban,SGT_IGT,0.69,0.72,0.68,0.28
139,Urban,SGT_IGT,0.84,0.92,0.6,0.08
140,Urban,SGT_IGT,0.57,0.23,0.42,0.77
142,Urban,SGT_IGT,0.65,0.17,0.7,0.83
143,Control,SGT_IGT,0.44,0.25,0.56,0.75
144,Control,SGT_IGT,0.65,0.44,0.7,0.56
145,Urban,SGT_IGT,0.76,0.33,0.4,0.67
146,Control,SGT_IGT,0.39,0.17,0.61,0.83
147,Control,SGT_IGT,0.52,0.6,0.5,0.4
148,Control,SGT_IGT,0.75,0.42,0.81,0.58
149,Nature,SGT_IGT,0.54,0.32,0.53,0.68
150,Control,SGT_IGT,0.67,0.3,0.67,0.7
151,Urban,SGT_IGT,0.59,0.26,0.54,0.74
152,Nature,SGT_IGT,0.86,0.72,0.19,0.28
153,Control,SGT_IGT,0.64,0.21,0.74,0.79
155,Control,SGT_IGT,0.24,0.13,0.43,0.87
156,Control,SGT_IGT,0.67,0.45,0.59,0.55
157,Nature,SGT_IGT,0.24,0.16,0.49,0.84
158,Nature,SGT_IGT,0.21,0.34,0.73,0.66
159,Nature,SGT_IGT,0.61,0.38,0.5,0.62
160,Nature,SGT_IGT,0.54,0.16,0.47,0.84
161,Control,SGT_IGT,0.74,0.38,0.41,0.62
162,Urban,SGT_IGT,0.37,0.16,0.59,0.84
163,Nature,SGT_IGT,0.51,0.49,0.48,0.51
164,Nature,SGT_IGT,0.58,0.05,0.59,0.95
165,Nature,SGT_IGT,0.59,0.3,0.48,0.7
166,Control,SGT_IGT,0.83,0.8,0.84,0.2
167,Nature,SGT_IGT,0.31,0.4,0.86,0.6
168,Nature,SGT_IGT,0.48,0.2,0.74,0.8
169,Urban,SGT_IGT,0.72,0.04,0.44,0.96
170,Urban,SGT_IGT,0.72,0.45,0.6,0.55
171,Nature,SGT_IGT,0.65,0.16,0.63,0.84
172,Urban,SGT_IGT,0.42,0.22,0.64,0.78
173,Control,SGT_IGT,0.52,0.4,0.49,0.6
174,Urban,SGT_IGT,0.49,0.56,0.61,0.44
175,Nature,SGT_IGT,0.22,0.37,0.76,0.63
176,Urban,SGT_IGT,0.66,0.4,0.49,0.6
177,Control,SGT_IGT,0.65,0.14,0.25,0.86
178,Nature,SGT_IGT,0.51,0.21,0.68,0.79
179,Urban,SGT_IGT,0.66,0.57,0.56,0.43
180,Control,SGT_IGT,0.5,0.35,0.5,0.65
181,Control,SGT_IGT,0.52,0.4,0.44,0.6
182,Nature,SGT_IGT,0.64,0.62,0.63,0.38
183,Urban,SGT_IGT,0.39,0.21,0.72,0.79
184,Urban,SGT_IGT,0.74,0.16,0.22,0.84
185,Urban,SGT_IGT,0.45,0.29,0.61,0.71
186,Control,SGT_IGT,0.18,0.28,0.85,0.72
187,Control,IGT_SGT,0.43,0.32,0.65,0.68
188,Urban,IGT_SGT,0.31,0.45,0.65,0.55
189,Control,IGT_SGT,0.6,0.62,0.55,0.38
190,Control,IGT_SGT,0.53,0.47,0.55,0.53
191,Nature,IGT_SGT,0.34,0.35,0.7,0.65
192,Control,IGT_SGT,0.5,0.84,0.41,0.16
193,Control,IGT_SGT,0.7,0.17,0.5,0.83
194,Urban,IGT_SGT,0.4,0.15,0.75,0.85
195,Urban,IGT_SGT,0.49,0.58,0.61,0.42
196,Nature,IGT_SGT,0.39,0.17,0.83,0.83
197,Urban,IGT_SGT,0.53,0.35,0.46,0.65
198,Control,IGT_SGT,0.58,0.08,0.54,0.92
199,Nature,IGT_SGT,0.59,0.57,0.78,0.43
200,Control,IGT_SGT,0.46,0.32,0.55,0.68
201,Urban,IGT_SGT,0.69,0.22,0.34,0.78
202,Urban,IGT_SGT,0.53,0.21,0.72,0.79
203,Urban,IGT_SGT,0.29,0.1,0.83,0.9
204,Control,IGT_SGT,0.49,0.23,0.58,0.77
205,Control,IGT_SGT,0.55,0.49,0.5,0.51
206,Nature,IGT_SGT,0.37,0.29,0.37,0.71
207,Control,IGT_SGT,0.64,0.17,0.66,0.83
208,Control,IGT_SGT,0.24,0.63,0.73,0.37
209,Urban,IGT_SGT,0.59,0.21,0.63,0.79
210,Nature,IGT_SGT,0.26,0.54,0.72,0.46
211,Urban,IGT_SGT,0.42,0.17,0.85,0.83
212,Control,IGT_SGT,0.46,0.25,0.66,0.75
213,Urban,IGT_SGT,0.17,0.05,0.81,0.95
215,Control,IGT_SGT,0.5,0.18,0.69,0.82
216,Control,IGT_SGT,0.5,0.49,0.6,0.51
217,Control,IGT_SGT,0.43,0.2,0.6,0.8
218,Control,IGT_SGT,0.56,0.31,0.55,0.69
219,Nature,IGT_SGT,0.48,0.42,0.62,0.58
220,Nature,IGT_SGT,0.29,0.27,0.4,0.73
221,Nature,IGT_SGT,0.24,0.48,0.76,0.52
222,Nature,IGT_SGT,0.39,0.86,0.62,0.14
223,Control,IGT_SGT,0.44,0.26,0.64,0.74
224,Nature,IGT_SGT,0.55,0.15,0.41,0.85
225,Nature,IGT_SGT,0.4,0.87,0.49,0.13
226,Urban,IGT_SGT,0.69,0.21,0.24,0.79
227,Urban,IGT_SGT,0.45,0.2,0.69,0.8
228,Control,IGT_SGT,0.6,0.22,0.48,0.78
229,Urban,IGT_SGT,0.52,0.85,0.35,0.15
230,Control,IGT_SGT,0.41,0.51,0.55,0.49
231,Control,IGT_SGT,0.43,0.3,0.56,0.7
232,Nature,IGT_SGT,0.36,0.27,0.57,0.73
233,Nature,IGT_SGT,0.45,0.77,0.65,0.23
234,Control,IGT_SGT,0.57,0.59,0.79,0.41
235,Nature,IGT_SGT,0.41,0.54,0.67,0.46
236,Control,IGT_SGT,0.48,0.25,0.69,0.75
237,Urban,IGT_SGT,0.61,0.3,0.54,0.7
238,Urban,IGT_SGT,0.66,0.35,0.34,0.65
239,Control,IGT_SGT,0.51,0.47,0.49,0.53
240,Control,IGT_SGT,0.53,0.65,0.5,0.35
241,Nature,IGT_SGT,0.55,0.77,0.56,0.23
242,Nature,IGT_SGT,0.55,0.37,0.71,0.63
243,Urban,IGT_SGT,0.26,0.83,0.83,0.17
244,Control,IGT_SGT,0.42,0.3,0.56,0.7
246,Control,IGT_SGT,0.5,0.55,0.34,0.45
247,Urban,IGT_SGT,0.41,0.47,0.25,0.53
248,Urban,IGT_SGT,0.56,0.47,0.49,0.53
249,Urban,IGT_SGT,0.43,0.33,0.8,0.67
250,Urban,IGT_SGT,0.47,0.48,0.56,0.52
251,Nature,IGT_SGT,0.37,0.27,0.59,0.73
252,Nature,IGT_SGT,0.55,0.07,0.81,0.93
253,Nature,IGT_SGT,0.66,0.37,0.4,0.63
254,Control,IGT_SGT,0.62,0.3,0.45,0.7
255,Urban,IGT_SGT,0.38,0.13,0.78,0.87
256,Control,IGT_SGT,0.47,0.16,0.62,0.84
257,Urban,IGT_SGT,0.45,0.25,0.57,0.75
258,Control,IGT_SGT,0.41,0.14,0.8,0.86
259,Control,IGT_SGT,0.56,0.43,0.53,0.57
260,Nature,IGT_SGT,0.41,0.34,0.6,0.66
261,Control,IGT_SGT,0.63,0.28,0.52,0.72
262,Urban,IGT_SGT,0.83,0.25,0.24,0.75
263,Nature,IGT_SGT,0.35,0.44,0.64,0.56
264,Urban,IGT_SGT,0.53,0.16,0.73,0.84
265,Urban,IGT_SGT,0.38,0.27,0.65,0.73
266,Urban,IGT_SGT,0.46,0.97,0.71,0.03
267,Urban,IGT_SGT,0.15,0.5,0.8,0.5
268,Urban,IGT_SGT,0.6,0.17,0.53,0.83
269,Nature,IGT_SGT,0.38,0.18,0.59,0.82
270,Control,IGT_SGT,0.6,0.29,0.6,0.71
271,Control,IGT_SGT,0.52,0.45,0.4,0.55
272,Control,IGT_SGT,0.24,0.24,0.67,0.76
273,Urban,IGT_SGT,0.47,0.06,0.74,0.94
274,Control,IGT_SGT,0.39,0.16,0.75,0.84
275,Urban,IGT_SGT,0.55,0.54,0.52,0.46
276,Control,IGT_SGT,0.66,0.24,0.59,0.76
277,Control,IGT_SGT,0.54,0.06,0.82,0.94
278,Nature,IGT_SGT,0.61,0.07,0.46,0.93
279,Nature,IGT_SGT,0.54,0.44,0.53,0.56
280,Nature,IGT_SGT,0.32,0.33,0.61,0.67
281,Urban,IGT_SGT,0.53,0.11,0.9,0.89
282,Urban,IGT_SGT,0.57,0.57,0.66,0.43
283,Control,IGT_SGT,0.52,0.67,0.4,0.33
284,Control,IGT_SGT,0.5,0.25,0.66,0.75
285,Control,IGT_SGT,0.51,0.33,0.59,0.67
286,Nature,IGT_SGT,0.62,0.17,0.53,0.83
287,Urban,IGT_SGT,0.36,0.19,0.69,0.81
288,Urban,IGT_SGT,0.55,0.23,0.61,0.77
289,Control,IGT_SGT,0.42,0.04,0.86,0.96
290,Control,IGT_SGT,0.4,0.2,0.66,0.8
291,Urban,IGT_SGT,0.47,0.27,0.55,0.73
292,Control,IGT_SGT,0.46,0.41,0.61,0.59
293,Urban,IGT_SGT,0.5,0.43,0.47,0.57
294,Control,IGT_SGT,0.35,0.24,0.81,0.76
295,Nature,IGT_SGT,0.46,0.58,0.45,0.42
296,Urban,IGT_SGT,0.41,0.25,0.87,0.75
297,Nature,IGT_SGT,0.35,0.78,0.56,0.22
298,Nature,IGT_SGT,0.76,0.71,0.3,0.29
299,Urban,IGT_SGT,0.44,0.36,0.5,0.64
300,Urban,IGT_SGT,0.67,0.24,0.61,0.76
301,Control,IGT_SGT,0.74,0.07,0.41,0.93
302,Urban,IGT_SGT,0.47,0.51,0.59,0.49
303,Urban,IGT_SGT,0.35,0.37,0.69,0.63
304,Nature,IGT_SGT,0.49,0.25,0.62,0.75
305,Urban,IGT_SGT,0.68,0.25,0.72,0.75
306,Urban,IGT_SGT,0.6,0.11,0.69,0.89
307,Nature,IGT_SGT,0.38,0.79,0.64,0.21
308,Control,IGT_SGT,0.45,0.26,0.57,0.74
309,Urban,IGT_SGT,0.48,0.49,0.52,0.51
310,Urban,IGT_SGT,0.67,0.62,0.69,0.38
311,Control,IGT_SGT,0.46,0.47,0.59,0.53
312,Urban,IGT_SGT,0.64,0.32,0.49,0.68
313,Nature,IGT_SGT,0.47,0.49,0.57,0.51
314,Urban,IGT_SGT,0.64,0.14,0.64,0.86
315,Nature,IGT_SGT,0.5,0.26,0.67,0.74
316,Urban,IGT_SGT,0.51,0.14,0.69,0.86
317,Control,IGT_SGT,0.54,0.79,0.72,0.21
318,Nature,IGT_SGT,0.49,0.57,0.5,0.43
319,Urban,IGT_SGT,0.4,0.22,0.62,0.78
320,Urban,IGT_SGT,0.46,0.36,0.56,0.64
321,Control,IGT_SGT,0.49,0.04,0.5,0.96
322,Urban,IGT_SGT,0.36,0.62,0.55,0.38
323,Nature,IGT_SGT,0.6,0.27,0.63,0.73
324,Urban,IGT_SGT,0.42,0.33,0.73,0.67
325,Urban,IGT_SGT,0.69,0.1,0.42,0.9
326,Urban,IGT_SGT,0.41,0.19,0.69,0.81
327,Nature,IGT_SGT,0.55,0.37,0.61,0.63
328,Urban,IGT_SGT,0.43,0.25,0.75,0.75
329,Control,IGT_SGT,0.53,0.42,0.63,0.58
330,Urban,IGT_SGT,0.49,0.41,0.85,0.59
331,Control,IGT_SGT,0.4,0.44,0.54,0.56
332,Control,IGT_SGT,0.59,0.2,0.66,0.8
333,Nature,IGT_SGT,0.43,0.65,0.38,0.35
334,Nature,IGT_SGT,0.55,0.41,0.65,0.59
335,Control,IGT_SGT,0.37,0.08,0.71,0.92
336,Nature,IGT_SGT,0.59,0.2,0.72,0.8
337,Urban,IGT_SGT,0.51,0.06,0.73,0.94
338,Nature,IGT_SGT,0.4,0.24,0.57,0.76
339,Nature,IGT_SGT,0.26,0.07,0.41,0.93
340,Control,IGT_SGT,0.7,0.32,0.5,0.68
341,Control,IGT_SGT,0.54,0.32,0.57,0.68
342,Urban,IGT_SGT,0.69,0.18,0.7,0.82
343,Urban,IGT_SGT,0.56,0.42,0.79,0.58
344,Control,IGT_SGT,0.42,0.51,0.56,0.49
345,Urban,IGT_SGT,0.52,0.63,0.5,0.37
346,Urban,IGT_SGT,0.22,0.23,0.7,0.77
347,Nature,IGT_SGT,0.31,0.17,0.6,0.83
348,Control,IGT_SGT,0.61,0.44,0.53,0.56
349,Control,IGT_SGT,0.39,0.33,0.75,0.67
350,Control,IGT_SGT,0.28,0.51,0.21,0.49
351,Urban,IGT_SGT,0.7,0.41,0.56,0.59
352,Control,IGT_SGT,0.48,0.16,0.8,0.84
353,Urban,IGT_SGT,0.81,0.16,0.5,0.84
354,Urban,IGT_SGT,0.11,0.08,0.78,0.92
355,Control,IGT_SGT,0.56,0.35,0.64,0.65
356,Control,IGT_SGT,0.57,0.32,0.56,0.68
357,Urban,IGT_SGT,0.45,0.2,0.66,0.8
358,Control,IGT_SGT,0.48,0.47,0.66,0.53
359,Urban,IGT_SGT,0.37,0.25,0.49,0.75
360,Nature,IGT_SGT,0.03,0.86,0.48,0.14
361,Control,IGT_SGT,0.63,0.05,0.49,0.95
362,Urban,IGT_SGT,0.28,0.59,0.48,0.41
363,Control,IGT_SGT,0.48,0.26,0.56,0.74
364,Nature,IGT_SGT,0.6,0.07,0.75,0.93
365,Control,IGT_SGT,0.49,0.65,0.62,0.35
366,Nature,IGT_SGT,0.52,0.35,0.73,0.65
367,Control,IGT_SGT,0.69,0.25,0.81,0.75
368,Control,IGT_SGT,0.59,0.43,0.54,0.57
369,Control,IGT_SGT,0.64,0.45,0.48,0.55
370,Urban,IGT_SGT,0.63,0.57,0.47,0.43
371,Nature,IGT_SGT,0.57,0.53,0.67,0.47
372,Urban,IGT_SGT,0.51,0.48,0.39,0.52
373,Control,IGT_SGT,0.63,0.06,0.71,0.94
374,Control,IGT_SGT,0.34,0.16,0.77,0.84
375,Nature,IGT_SGT,0.39,0.37,0.57,0.63
376,Nature,IGT_SGT,0.3,0.12,0.66,0.88
377,Nature,IGT_SGT,0.7,0.26,0.69,0.74
378,Nature,IGT_SGT,0.78,0.07,0.21,0.93
379,Urban,IGT_SGT,0.62,0.62,0.54,0.38
380,Control,IGT_SGT,0.34,0.51,0.72,0.49
381,Nature,IGT_SGT,0.5,0.37,0.52,0.63
382,Urban,IGT_SGT,0.4,0.38,0.55,0.62
383,Nature,IGT_SGT,0.45,0.36,0.58,0.64
384,Urban,IGT_SGT,0.53,0.37,0.62,0.63
385,Control,IGT_SGT,0.42,0.56,0.45,0.44
386,Control,IGT_SGT,0.35,0.09,0.73,0.91
387,Nature,IGT_SGT,0.25,0.5,0.65,0.5
388,Urban,IGT_SGT,0.65,0.82,0.66,0.18
389,Nature,IGT_SGT,0.05,0.12,0.68,0.88
390,Nature,IGT_SGT,0.18,0.26,0.91,0.74
391,Nature,IGT_SGT,0.62,0.3,0.52,0.7
392,Nature,IGT_SGT,0.3,0.28,0.6,0.72
393,Nature,IGT_SGT,0.41,0.35,0.66,0.65
394,Nature,IGT_SGT,0.84,0.05,0.19,0.95
395,Nature,IGT_SGT,0.58,0.11,0.79,0.89
396,Nature,IGT_SGT,0.55,0.25,0.7,0.75
397,Nature,IGT_SGT,0.41,0.25,0.84,0.75
398,Nature,IGT_SGT,0.59,0.47,0.65,0.53
399,Nature,IGT_SGT,0.36,0.32,0.69,0.68
400,Nature,IGT_SGT,0.46,0.22,0.52,0.78
401,Nature,IGT_SGT,0.58,0.25,0.75,0.75
402,Nature,IGT_SGT,0.79,0.75,0.7,0.25
403,Nature,IGT_SGT,0.63,0.7,0.49,0.3
404,Nature,IGT_SGT,0.49,0.2,0.54,0.8
405,Nature,IGT_SGT,0.42,0.23,0.68,0.77
406,Nature,IGT_SGT,0.47,0.75,0.44,0.25
407,Nature,IGT_SGT,0.17,0.19,0.77,0.81
408,Nature,IGT_SGT,0.59,0.28,0.61,0.72
409,Nature,IGT_SGT,0.43,0.48,0.56,0.52
