Subnum,Task,Condition,Gender,Ethnicity,Race,Age,React,Reward,keyResponse,Trial,Bank,BonusAmount,Order,Block,BestOption,HighFreqOption,HighMagOption,TaskCode,naturalness,disorderliness,aesthetic,Hue,SDHue,Bright,SDBright,Saturaton,SDSat,Entropy,EdgeCount,CornerMean,CornerSD,CornerCount,ContourMeanLength,ContourSDLength,ContourMeanArea,ContourSDArea,ContourCount,AsymmetryV,AsymmetryH,KPMeanSize,KPSDSize,KPMeanStrength,KPSDStrength,KPMeanAngle,KPSDAngle,KPCount
1,SGT,Urban,Male,Prefer not to answer,White,21,3685.0,-100.0,4.0,1.0,1900.0,-0.1,SGT_IGT,1.0,1,0,0,1.0,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,7.367519426345825,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.999045763487,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78
1,SGT,Urban,Male,Prefer not to answer,White,21,1107.0,100.0,2.0,2.0,2000.0,-0.1,SGT_IGT,1.0,0,1,0,1.0,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,7.367519426345825,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.999045763487,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78
1,SGT,Urban,Male,Prefer not to answer,White,21,783.0,100.0,2.0,3.0,2100.0,-0.1,SGT_IGT,1.0,0,1,0,1.0,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,7.367519426345825,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.999045763487,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78
1,SGT,Urban,Male,Prefer not to answer,White,21,1470.0,200.0,1.0,4.0,2300.0,-0.1,SGT_IGT,1.0,0,1,1,1.0,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,7.367519426345825,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.999045763487,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78
1,SGT,Urban,Male,Prefer not to answer,White,21,671.0,200.0,1.0,5.0,2500.0,-0.1,SGT_IGT,1.0,0,1,1,1.0,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,7.367519426345825,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.999045763487,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78
1,SGT,Urban,Male,Prefer not to answer,White,21,1033.0,-200.0,3.0,6.0,2300.0,-0.1,SGT_IGT,1.0,1,0,1,1.0,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,7.367519426345825,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.999045763487,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78
1,SGT,Urban,Male,Prefer not to answer,White,21,1208.0,200.0,1.0,7.0,2500.0,-0.1,SGT_IGT,1.0,0,1,1,1.0,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,7.367519426345825,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.999045763487,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78
1,SGT,Urban,Male,Prefer not to answer,White,21,557.0,200.0,1.0,8.0,2700.0,-0.1,SGT_IGT,1.0,0,1,1,1.0,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,7.367519426345825,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.999045763487,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78
1,SGT,Urban,Male,Prefer not to answer,White,21,667.0,-1050.0,1.0,9.0,1650.0,-0.1,SGT_IGT,1.0,0,1,1,1.0,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,7.367519426345825,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.999045763487,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78
1,SGT,Urban,Male,Prefer not to answer,White,21,720.0,100.0,2.0,10.0,1750.0,-0.1,SGT_IGT,1.0,0,1,0,1.0,2.4,4.06,3.16,81.90491520833334,39.549595381055504,138.96887720833334,67.87176632027095,60.555748666666666,38.48448286545619,7.367519426345825,0.11376574999999997,119.74326754997374,53.588944116420414,1163.26,88.37038717229548,249.999045763487,29.80662231629093,185.43621144933505,1186.24,50.23678133333334,79.16731033333333,3.9379938643406316,5.342411809577806,0.029330330137286264,0.014111560382346821,183.99569934175514,104.24305347646748,3321.78
