participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,8.91637469021851,"[0.2491460279961631, 0.020474786193879557]",[0.01081216 0.9999    ],21.83274938043702,27.043089752413202,1,1,10
2,11.81053529530302,"[0.16968187563471632, 0.5765508382746672]",[0.00686562 0.42292171],27.62107059060604,32.831410962582225,1,1,10
3,7.918591904707889,"[3.312892360526996, 0.0037303023634705653]",[0.01303769 0.9999    ],19.837183809415777,25.047524181391964,1,1,10
4,13.86029934461235,"[0.6227985775029321, 0.07961925683145225]",[6.27655141e-01 1.06718221e-04],31.7205986892247,36.93093906120089,1,1,10
5,8.34668663945638,"[0.4659387260631546, 0.10913517511842834]",[0.01205299 0.97284473],20.69337327891276,25.903713650888943,1,1,10
6,10.958835122740556,"[0.5765211549242506, 0.11504938623653338]",[0.02560981 0.13005561],25.917670245481112,31.128010617457296,1,1,10
7,8.281210889849495,"[0.09610814885804085, 0.6457241195600575]",[0.01086088 0.9999    ],20.56242177969899,25.772762151675174,1,1,10
8,11.909828365244431,"[0.019751230126699396, 0.013885635951533469]",[0.00860944 0.35506243],27.819656730488862,33.029997102465046,1,1,10
9,5.427746218011907,"[0.2606103376227752, 0.8212209573648377]",[0.32754263 0.03348533],14.855492436023814,20.065832807999996,1,1,10
10,10.996090239746465,"[0.10149408521716151, 0.34770107776078063]",[3.41061326e+00 1.00000000e-04],25.99218047949293,31.202520851469114,1,1,10
11,10.27547224928089,"[0.12566045293420217, 0.7348890884989696]",[3.51323273e+00 1.00000000e-04],24.55094449856178,29.761284870537963,1,1,10
12,10.007113829496376,"[0.16104929460649733, 0.5659389998854089]",[3.58781051e+00 1.00000000e-04],24.014227658992752,29.224568030968936,1,1,10
13,9.994547762452298,"[0.4585581273410089, 0.2366515258699176]",[0.0245006  0.17549979],23.989095524904595,29.19943589688078,1,1,10
14,12.25056189744581,"[0.0340885841286034, 0.19856977128190656]",[2.96512686e+00 1.00000000e-04],28.50112379489162,33.7114641668678,1,1,10
15,10.28906715622921,"[0.3851132668375386, 0.031056742663447327]",[3.41246467e+00 1.00000000e-04],24.57813431245842,29.788474684434604,1,1,10
16,12.527611790512527,"[0.1619624776105914, 0.41971700705466086]",[2.74132308e+00 1.00000000e-04],29.055223581025054,34.265563953001234,1,1,10
17,12.757558157275312,"[0.1438478099516294, 0.4962813957503485]",[2.73323396e+00 1.00000000e-04],29.515116314550625,34.72545668652681,1,1,10
18,11.040478184495246,"[0.34989597289720853, 0.2746081662350731]",[3.3321163e+00 1.0000000e-04],26.080956368990492,31.291296740966676,1,1,10
19,13.86294773105886,"[0.04106593904763675, 0.7628709148445743]",[0.0001 0.0001],31.72589546211772,36.93623583409391,1,1,10
20,9.624021983345884,"[0.48319243850871285, 0.10259554526744061]",[0.01314628 0.45812973],23.248043966691768,28.45838433866795,1,1,10
21,10.742102540958474,"[0.07698403485895565, 0.9528076728006676]",[0.47875312 0.00623374],25.484205081916947,30.69454545389313,1,1,10
22,12.716242133432663,"[0.006599617050287104, 0.07554674856110857]",[2.80923662e+00 1.00000000e-04],29.432484266865327,34.64282463884151,1,1,10
23,11.765308094028349,"[0.53288921297835, 0.18330717245213565]",[0.01003588 0.32996162],27.530616188056698,32.740956560032885,1,1,10
24,10.244272965737029,"[0.005923406582777271, 0.047533748643015857]",[0.02963901 0.13197529],24.488545931474057,29.69888630345024,1,1,10
25,13.086202154032593,"[1.4258063820195976, 0.04135881997622923]",[2.67352048e+00 1.00000000e-04],30.172404308065186,35.38274468004137,1,1,10
26,11.26705475455552,"[0.7006131077499761, 0.0763941414372913]",[3.45179799e+00 1.00000000e-04],26.53410950911104,31.744449881087224,1,1,10
27,10.55253853504215,"[0.5012979318530526, 0.30957947127633045]",[3.51735528e+00 1.00000000e-04],25.1050770700843,30.315417442060483,1,1,10
28,12.109544240211072,"[0.9966785681141559, 0.000853693609939664]",[2.99711945e+00 1.00000000e-04],28.219088480422144,33.42942885239833,1,1,10
29,12.876759287287147,"[0.05253090877831612, 0.0713913059302245]",[2.90407972e+00 1.00000000e-04],29.753518574574294,34.963858946550474,1,1,10
30,11.399344137128635,"[0.53774958996353, 0.1076064120113949]",[3.27922592e+00 1.00000000e-04],26.79868827425727,32.00902864623345,1,1,10
31,10.1738322667871,"[0.5900794550230644, 0.2194319526547369]",[0.01056791 0.9999    ],24.3476645335742,29.558004905550384,1,1,10
32,10.963821123245719,"[0.28621024753212015, 0.2703460876569191]",[0.03374442 0.10116231],25.927642246491438,31.13798261846762,1,1,10
33,12.369830790073186,"[3.3537909000151362, 0.1795540583546515]",[2.87670112e+00 1.00000000e-04],28.73966158014637,33.950001952122555,1,1,10
34,11.27719718196613,"[0.20851333887652834, 0.032329976427687035]",[3.22724434e+00 1.00000000e-04],26.55439436393226,31.764734735908444,1,1,10
35,12.680040676491709,"[1.5661161532035976, 0.014894240675546394]",[3.36321526e+00 1.00000000e-04],29.360081352983418,34.5704217249596,1,1,10
36,9.992865153457453,"[0.23645095540167224, 0.44340892876088267]",[0.01225506 0.42075066],23.985730306914906,29.19607067889109,1,1,10
37,9.564375127441407,"[0.18296598404442688, 0.0007442502942782634]",[0.02353955 0.25468783],23.128750254882814,28.339090626858997,1,1,10
38,11.405179576708157,"[0.14157483814453722, 0.18002744613942645]",[0.00523354 0.9999    ],26.810359153416314,32.0206995253925,1,1,10
39,12.28379527346721,"[0.9904406417507231, 0.09331200798770024]",[3.39597945e+00 1.00000000e-04],28.56759054693442,33.7779309189106,1,1,10
40,11.144288594236897,"[0.18735885693699725, 0.30346099607309046]",[3.29762182e+00 1.00000000e-04],26.288577188473795,31.49891756044998,1,1,10
41,12.521151547415387,"[0.4509028520701666, 0.08386454156770462]",[0.00496075 0.9999    ],29.042303094830775,34.25264346680696,1,1,10
42,10.714471405181396,"[0.45170102241664295, 0.06159545491307914]",[3.48783764e+00 1.00000000e-04],25.42894281036279,30.639283182338975,1,1,10
43,9.224183346155671,"[0.3188563470453493, 0.09155348105601498]",[0.07847949 0.06638669],22.448366692311343,27.658707064287526,1,1,10
44,8.499876558670252,"[0.2811168434106116, 0.09914606979891413]",[0.01019794 0.9728131 ],20.999753117340504,26.210093489316687,1,1,10
45,3.1780538303549464,"[3.4378577182270535, 0.517151394528756]",[3.43785772 0.51715139],10.356107660709892,15.566448032686075,1,1,10
46,13.134451586633524,"[0.3398244005840721, 0.33062280086701484]",[2.62888627e+00 1.00000000e-04],30.26890317326705,35.479243545243236,1,1,10
47,11.315747221849628,"[0.27761092141306165, 0.2410675255995045]",[0.00630781 0.9999    ],26.631494443699257,31.84183481567544,1,1,10
48,9.66569255157979,"[0.10784446374854346, 0.5606121015779403]",[2.23785018e+00 6.83597390e-04],23.33138510315958,28.541725475135763,1,1,10
49,8.748288814936812,"[0.7459301859450006, 0.20356082376068305]",[0.12241467 0.06276163],21.496577629873624,26.706918001849807,1,1,10
50,11.612304695779724,"[3.663275162064776, 0.004716428249115093]",[3.1633162e+00 1.0000000e-04],27.224609391559447,32.43494976353563,1,1,10
51,10.45758468902841,"[0.3438062061281605, 0.03173472573389915]",[3.47816076e+00 1.00000000e-04],24.91516937805682,30.125509750033004,1,1,10
52,10.9200813416127,"[0.0353855276634498, 0.4711418141455203]",[0.00624113 0.75058596],25.8401626832254,31.050503055201585,1,1,10
53,8.63347160475498,"[0.2207959937468003, 0.08965256942529774]",[0.01216831 0.9999    ],21.26694320950996,26.477283581486144,1,1,10
54,11.382250032088791,"[0.2789903248479226, 0.592438017460942]",[0.00968782 0.79498747],26.764500064177582,31.974840436153766,1,1,10
55,11.82119769186405,"[0.7292296074913652, 0.019535637415544763]",[3.08603252e+00 1.00000000e-04],27.6423953837281,32.85273575570429,1,1,10
56,10.908857575412519,"[0.05156843817806579, 0.9673502441830165]",[0.00865287 0.9999    ],25.817715150825038,31.02805552280122,1,1,10
57,11.086196674238185,"[0.06466608580254549, 0.3143594985736385]",[0.05946772 0.06569496],26.17239334847637,31.382733720452553,1,1,10
58,9.901230038731065,"[0.3020851361585926, 0.015733779943325102]",[0.00848572 0.9999    ],23.80246007746213,29.012800449438313,1,1,10
59,13.145650782140093,"[0.7959547422480634, 0.08610568256033263]",[3.20416538e+00 1.00000000e-04],30.291301564280186,35.50164193625637,1,1,10
