participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC,window_id,window_start,window_end
1,13.86294512201169,"[2.1122173796676846, 0.7935385849062054]",[1.000e-04 9.999e-01],31.72589024402338,36.93623061599956,1,1,10
2,1.3862943611288914,"[3.522842552716788, 0.7274422235492599]",[3.52284255 0.72744222],6.772588722257783,11.982929094233967,1,1,10
3,12.578421453929984,"[2.7032550890683793, 0.5123165295768076]",[0.00814028 0.02963737],29.156842907859968,34.367183279836155,1,1,10
4,13.862945534041517,"[0.04114372879502575, 0.05904210626290345]",[1.000e-04 9.999e-01],31.725891068083033,36.93623144005922,1,1,10
5,13.86294553376685,"[0.2860847943462118, 0.7682024744435242]",[1.000e-04 9.999e-01],31.7258910675337,36.93623143950988,1,1,10
6,13.408861152121908,"[1.0761023362152498, 0.1250041126755845]",[0.00548612 0.0001    ],30.817722304243816,36.02806267622,1,1,10
7,1.3862943611288914,"[3.050964339909611, 0.77652233918119]",[3.05096434 0.77652234],6.772588722257783,11.982929094233967,1,1,10
8,13.409237970519733,"[0.13253234297721325, 0.37019700980794934]",[0.11784285 0.94477763],30.818475941039466,36.02881631301565,1,1,10
9,9.408643020677458,"[2.7389604148267, 0.13507783750270658]",[0.00878477 0.0001    ],22.817286041354915,28.0276264133311,1,1,10
10,12.070749622843692,"[0.05312029405853629, 0.43648280320905425]",[4.69817685 0.9999    ],28.141499245687385,33.35183961766357,1,1,10
11,13.5244615502575,"[0.826655133921628, 0.07539944378167994]",[0.00302184 0.0001    ],31.048923100515,36.259263472491185,1,1,10
12,13.313553017104331,"[1.3902232491530127, 0.8413679371168243]",[0.00889289 0.31532283],30.627106034208662,35.837446406184846,1,1,10
13,13.826295614792784,"[1.6022081502983432, 0.0989021968251133]",[0.00106968 0.0001    ],31.652591229585568,36.862931601561755,1,1,10
14,13.413625269638112,"[1.2913787728258632, 0.9367486722022759]",[3.96218112 0.9999    ],30.827250539276225,36.03759091125241,1,1,10
15,13.289991122491841,"[0.25629334514183133, 0.3180942845966701]",[4.18139251 0.9999    ],30.579982244983682,35.79032261695987,1,1,10
16,13.541375284265863,"[0.9661008059385369, 0.841492938263934]",[3.88929955 0.9999    ],31.082750568531726,36.29309094050791,1,1,10
17,12.830129260495719,"[1.1374696991649689, 0.7713447198184696]",[0.00865763 0.0001    ],29.660258520991437,34.87059889296762,1,1,10
18,12.790369106877048,"[0.544232358940927, 0.06555441140812177]",[0.00904119 0.0001    ],29.580738213754096,34.791078585730276,1,1,10
19,13.862945533945366,"[1.4488909261317227, 0.3615920585069864]",[1.000e-04 9.999e-01],31.725891067890732,36.936231439866916,1,1,10
20,4.304820677253271,"[0.5646867333644248, 0.67783033000213]",[0.414315   0.75737545],12.609641354506541,17.819981726482723,1,1,10
21,13.862943886032554,"[0.490653301416122, 0.6150227460561741]",[1.000e-04 9.999e-01],31.725887772065107,36.936228144041294,1,1,10
22,1.3862943611288914,"[3.2821292208646344, 0.08870223896449644]",[3.28212922 0.08870224],6.772588722257783,11.982929094233967,1,1,10
23,9.917661546511722,"[0.44459253310931446, 0.16976963430137174]",[0.00897482 0.0001    ],23.835323093023444,29.045663464999627,1,1,10
24,13.862945121929325,"[3.159666844526606, 0.9468571791062906]",[1.000e-04 9.999e-01],31.72589024385865,36.93623061583483,1,1,10
25,9.005356076020373,"[1.0692957242960968, 0.45879956999739585]",[4.9999     0.99987481],22.010712152040746,27.22105252401693,1,1,10
26,13.862945259373243,"[1.1582849746496984, 0.9896866094673213]",[1.000e-04 9.999e-01],31.725890518746485,36.93623089072267,1,1,10
27,13.3118988797517,"[0.19218547748965, 0.23366002222833238]",[0.01290035 0.29282186],30.6237977595034,35.834138131479584,1,1,10
28,4.646706976121827,"[1.3901243624197515, 0.9347563894621704]",[0.38906176 0.72532978],13.293413952243654,18.503754324219837,1,1,10
