participant_id,best_nll,best_initial_guess,best_parameters,best_EV,AIC,BIC,window_id,window_start,window_end
200,5.375278407684164,"[1.0691489004643475, 0.0059395891146727595]",[2.27599014 0.33656761],[ 49.51485629 100.          83.17161876  83.17161876],14.750556815368329,15.145005970040767,1,1,10
201,10.462874742916545,"[3.8726051204927683, 0.3770488768698775]",[3.87260512 0.37704888],[50.         50.         31.14755566 50.        ],24.92574948583309,25.32019864050553,1,1,10
202,11.843385393537869,"[0.16739155319903273, 0.3988173256361423]",[0.00998016 0.9999    ],[-49.9849985 100.         50.0000005  50.       ],27.686770787075737,28.081219941748177,1,1,10
203,5.662960480135945,"[1.7930367224526627, 0.6725180808799733]",[1.79303672 0.67251808],[ -0.87771363 100.          66.37409546  66.37409546],15.32592096027189,15.72037011494433,1,1,10
204,11.634319924219199,"[0.2927955242743967, 0.8001850198110869]",[4.22647775e+00 1.00000000e-04],[ 99.985     100.         99.9899995  99.9949995],27.268639848438397,27.663089003110837,1,1,10
205,12.476649250079015,"[2.828855592506784, 0.9451196955089333]",[2.82885559 0.9451197 ],[100. 100. 100. 100.],28.95329850015803,29.34774765483047,1,1,10
206,6.487863965052433,"[0.5649493613240638, 0.10055694345760022]",[0.47679888 0.05849249],[49.49680036 60.71152775 50.         50.        ],16.975727930104867,17.370177084777303,1,1,10
207,12.460544986126907,"[0.044345011660111344, 0.6668076153862177]",[0.00234169 0.9999    ],[ 99.9999995 100.         50.         50.       ],28.921089972253814,29.315539126926254,1,1,10
208,6.930857293166898,"[0.3426879932461693, 0.3441644064277419]",[4.96588561e+00 1.00000000e-04],[50.0050005 50.0299955 50.        50.       ],17.861714586333797,18.256163741006237,1,1,10
209,12.476653095091853,"[0.18415703800919378, 0.2339693074762852]",[0.0001 0.0001],[100.       100.        99.975001  99.985   ],28.953306190183707,29.347755344856147,1,1,10
210,10.888808550764647,"[0.7150591162906131, 0.39490571977072764]",[0.01968031 0.9208135 ],[-38.14685314  99.97517305  50.          50.        ],25.777617101529295,26.172066256201735,1,1,10
211,12.476651172759015,"[0.3831616979534269, 0.9527664403771147]",[0.0001 0.0001],[100.        100.         99.9949995  99.9750025],28.95330234551803,29.34775150019047,1,1,10
212,10.021712176401673,"[0.5017539824086419, 0.0009244000932451424]",[0.02640996 0.9999    ],[-49.9849985  99.9999995  50.         50.       ],24.043424352803346,24.437873507475786,1,1,10
213,9.246479418592054,"[3.8644947245063026, 0.8478712478702559]",[3.86449472 0.84787125],[100.         100.          57.60643711  57.60643711],22.49295883718411,22.88740799185655,1,1,10
214,12.476650486017716,"[1.0702863114387056, 0.10728338308420264]",[0.0001 0.0001],[50.0100005 50.0100005 49.9949995 50.       ],28.953300972035432,29.347750126707872,1,1,10
215,10.599287952538239,"[0.4326801083242923, 0.12034833983170491]",[0.02462786 0.97400501],[-46.10163102  99.99912171  50.          50.        ],25.198575905076478,25.593025059748918,1,1,10
216,12.476649250079015,"[3.660461355226022, 0.7228116685883715]",[3.66046136 0.72281167],[100. 100. 100. 100.],28.95329850015803,29.34774765483047,1,1,10
217,9.364262454248438,"[3.840802228977565, 0.16748384710260592]",[3.84080223 0.16748385],[ 74.87742143 100.         100.          84.65415641],22.728524908496876,23.122974063169316,1,1,10
218,9.68997925402552,"[1.0731261804413463, 0.09661516113837179]",[4.53108058e+00 1.00000000e-04],[50.0050005 50.0249975 50.        50.       ],23.37995850805104,23.77440766272348,1,1,10
219,8.812497745810484,"[0.6186648189280685, 0.32436957882977646]",[5.00000000e+00 1.31561269e-04],[50.00657856 50.02630906 50.         50.        ],21.624995491620968,22.019444646293408,1,1,10
220,12.218579597694843,"[1.667735242533865, 0.04032881191681442]",[3.8856016e+00 1.0000000e-04],[ 99.985     100.         99.9949995  99.9899995],28.437159195389686,28.831608350062126,1,1,10
221,7.336936913707618,"[2.782566135107447, 0.5239128281213288]",[2.78256614 0.52391283],[100.         100.          73.80435809  73.80435809],18.673873827415235,19.068322982087675,1,1,10
223,12.476651721764041,"[0.013028679629852564, 0.7714084973035545]",[0.0001 0.0001],[100.        100.         99.9899995  99.980001 ],28.953303443528082,29.347752598200522,1,1,10
224,11.92693107759054,"[1.7191077544345694, 0.011013490864274745]",[4.18876482e+00 1.00000000e-04],[ 99.985     100.         99.9949995  99.9949995],27.85386215518108,28.24831130985352,1,1,10
225,11.281012835416636,"[0.528419576373034, 0.42827888149281484]",[4.79599621e+00 1.00000000e-04],[50.004999 50.       49.995    50.      ],26.562025670833272,26.956474825505712,1,1,10
226,12.093516977484532,"[0.3847952184218398, 0.07020223894393929]",[3.98444894e+00 1.00000000e-04],[100.        100.         99.9899995  99.9899995],28.187033954969063,28.581483109641503,1,1,10
227,10.920455852163727,"[2.951191507008197, 0.16677292716909534]",[2.95119151 0.16677293],[ 74.98405942 100.         100.          91.66135314],25.840911704327453,26.235360858999893,1,1,10
228,10.226469130121549,"[2.519026948438109, 0.029183870398578563]",[4.99907845e+00 1.26426152e-04],[100.         100.          99.99367819  99.98735718],24.452938260243098,24.847387414915538,1,1,10
229,12.316643816645657,"[0.03645041883084036, 0.07558750460006732]",[0.01182307 0.47557767],[73.77888414 96.2182339  50.         50.        ],28.633287633291314,29.027736787963754,1,1,10
230,11.692674453597267,"[0.4730569837480516, 0.6358808085795468]",[0.02031339 0.59845038],[ 10.23244205 100.          58.06210461  58.06210461],27.385348907194533,27.779798061866973,1,1,10
231,12.476651721956099,"[0.5667984764272272, 0.3338582331743206]",[0.0001 0.0001],[50.0100005 50.0100005 49.9949995 50.       ],28.953303443912198,29.347752598584638,1,1,10
232,9.374149345322055,"[0.6186221286584906, 0.09921670482164067]",[5.00000000e+00 1.01829046e-04],[50.00509195 50.0203647  50.         50.        ],22.74829869064411,23.14274784531655,1,1,10
233,11.26702228650582,"[0.3029889159988476, 0.6956151913382325]",[0.0165235 0.9999   ],[-49.9849985  99.9999995  50.         50.       ],26.53404457301164,26.92849372768408,1,1,10
234,12.476649387428818,"[0.8759742170011924, 0.23535697408045575]",[0.0001 0.0001],[100.        100.         99.9799995  99.9899995],28.953298774857636,29.347747929530076,1,1,10
235,12.01450182990753,"[3.7578970226653707, 0.647175722171311]",[4.0601212e+00 1.0000000e-04],[ 99.985     100.         99.9949995  99.9899995],28.02900365981506,28.4234528144875,1,1,10
236,11.658772735014233,"[0.5814992184126949, 0.47211660986277665]",[0.01437612 0.9999    ],[-49.9849985  99.9999995  50.         50.       ],27.317545470028467,27.711994624700907,1,1,10
237,10.849382002977666,"[0.9529510004689375, 0.29605009846753255]",[4.8431698e+00 1.0000000e-04],[ 99.9849985 100.         99.9899995  99.9899995],25.698764005955333,26.093213160627773,1,1,10
238,12.476650074042993,"[1.184836122246824, 0.7992115061952724]",[0.0001 0.0001],[50.0100005 50.0100005 50.        50.       ],28.953300148085987,29.347749302758427,1,1,10
239,12.476649250161792,"[0.719162241679891, 0.4125016743522348]",[0.0001 0.0001],[49.9999985 50.0050005 49.9949995 50.       ],28.953298500323584,29.347747654996024,1,1,10
240,12.153759391373127,"[1.470888715335169, 0.12493447828847261]",[3.94010657e+00 1.00000000e-04],[ 99.9849985 100.         99.9899995  99.9899995],28.307518782746254,28.701967937418694,1,1,10
241,12.242340510476321,"[2.2061206631815558, 0.9465256815624447]",[0.00707413 0.9999    ],[-49.9849985  99.9999995  50.         50.       ],28.484681020952642,28.879130175625082,1,1,10
242,12.476650623351693,"[1.5580166790016152, 0.9150325698603303]",[0.0001 0.0001],[50.0100005 50.0100005 50.        50.       ],28.953301246703386,29.347750401375826,1,1,10
243,10.50214279165639,"[1.3312550726509704, 0.11296587378164832]",[4.99794905e+00 1.40780384e-04],[100.         100.          99.99296048  99.98592195],25.00428558331278,25.39873473798522,1,1,10
244,12.111545345507716,"[0.1533321712128609, 0.0940781958913139]",[3.67663506e+00 1.00000000e-04],[ 99.985     100.         99.9899995  99.9949995],28.223090691015432,28.617539845687872,1,1,10
245,8.502268095908141,"[1.2667523204207773, 0.13054545503431408]",[4.88434762e+00 1.93795056e-04],[ 99.97092924 100.          99.98062137  99.99030975],21.004536191816282,21.398985346488722,1,1,10
246,11.663890151848843,"[2.099124900273302, 0.042917717755217646]",[4.70554666e+00 1.00818537e-04],[100.         100.          99.98991765  99.99495857],27.327780303697686,27.722229458370126,1,1,10
248,11.417839201677982,"[0.4971097490322674, 0.211249289546155]",[4.33214223e+00 1.00000000e-04],[ 99.985     100.         99.9899995  99.9899995],26.835678403355963,27.230127558028403,1,1,10
