,Semantic_PC1,Semantic_PC2,Semantic_PC3
sky,0.12939022745264542,0.45980633166201484,0.29976706598584735
grass,-0.03633389686986621,0.03968957124452737,0.26183043137319956
plant,-0.24681882234543784,-0.10995369697266304,-0.120830543410135
water,-0.20885638668766662,0.09442338604375199,-0.03362870387500518
fence,0.05220355104988335,-0.2175860300465718,-0.16866531941317014
path,-0.16854346105742948,-0.19268114977337666,-0.17694100809010072
river,-0.08697156653169007,0.03178967768251116,0.017704281001093537
bench,0.02520843287834786,-0.36492918541394415,0.3192868900018726
pole,0.18382467715961268,-0.007315743360113529,-0.33930034894076366
building,0.4696118633900664,-0.043695843146290866,-0.09946810002814364
tree,-0.4061685216916143,-0.058647143285527906,-0.13814015117151707
earth,-0.21807640697381966,-0.1919975564979472,-0.11742566350544867
rock,-0.13709245057811023,0.2450729302694339,0.13511370742702616
streetlight,0.2070468791959179,0.030566683950207233,-0.04505027718484322
wall,0.06003453282633299,-0.2877958515197209,-0.31986443624163585
signboard,0.24957783775894954,0.011967045783183718,-0.3583246318381709
sidewalk,0.24088880950363062,-0.3865092249614229,0.31706120758352313
railing,0.10961115743168542,-0.3800196491361618,0.36884937612003793
road,0.36743426178497457,0.18528063489424962,-0.06291535840531726
person,0.1647968891490672,0.05117896098264372,-0.10648478962254965
mountain,-0.10698083241986005,0.17424421958682235,0.05549566421516023
