ImageName,E1_naturalness,n_E1_ratings,Perc_Nat,Original_Group
Nature6,6.5423728813559325,59,6.826207883,Nature-selected
Nature7,6.672727272727273,55,6.846153846,Nature-selected
Nature8,6.295081967213115,61,6.8203274,Nature-selected
Nature9,6.412698412698413,63,6.825492689,Nature-selected
Urban1,1.5714285714285714,56,1.257885471,Urban-selected
Urban10,2.30188679245283,53,1.604507555,Urban-selected
Urban11,2.625,56,1.642094968,Urban-selected
Urban12,2.5535714285714284,56,1.588644921,Urban-selected
Urban13,2.6166666666666667,60,1.722245586,Urban-selected
Urban14,2.019230769230769,52,1.455044256,Urban-selected
Urban15,1.9824561403508771,57,1.324685803,Urban-selected
Urban16,1.7272727272727273,55,1.163461539,Urban-selected
Urban17,2.1320754716981134,53,1.387751235,Urban-selected
Urban18,2.8627450980392157,51,1.773772556,Urban-selected
Urban19,1.7636363636363637,55,1.164176733,Urban-selected
Urban2,1.7407407407407407,54,1.164176733,Urban-selected
Urban20,1.7735849056603774,53,1.39328329,Urban-selected
Urban21,1.62,50,1.184615385,Urban-selected
Urban22,1.62,50,1.593983814,Urban-selected
Urban23,1.9074074074074074,54,1.209615385,Urban-selected
Urban24,1.7380952380952381,42,1.408078635,Urban-selected
Urban25,2.9322033898305087,59,2.051545308,Urban-selected
Urban26,1.5576923076923077,52,1.293708739,Urban-selected
Urban27,2.8,60,1.65051714,Urban-selected
Urban28,1.7049180327868851,61,1.2,Urban-selected
Urban29,2.135593220338983,59,1.854879211,Urban-selected
Urban3,1.467741935483871,62,1.194945963,Urban-selected
Urban31,1.6326530612244898,49,1.262238985,Urban-selected
Urban32,1.3571428571428572,56,1.262238985,Urban-selected
Urban33,2.210526315789474,57,1.463243924,Urban-selected
Urban34,1.6833333333333333,60,1.371332339,Urban-selected
Urban35,2.433333333333333,60,1.635513961,Urban-selected
Urban36,1.6842105263157894,57,1.23593452,Urban-selected
Urban37,1.7924528301886793,53,1.230769231,Urban-selected
Urban38,1.711111111111111,45,1.123076923,Urban-selected
Urban39,2.176470588235294,51,1.792370042,Urban-selected
Urban4,1.6851851851851851,54,1.283489412,Urban-selected
Urban41,1.8070175438596492,57,1.40420314,Urban-selected
Urban42,1.3272727272727274,55,1.262238985,Urban-selected
Urban43,1.7346938775510203,49,1.215384615,Urban-selected
Urban44,1.9649122807017543,57,1.366278302,Urban-selected
Urban45,1.6785714285714286,56,1.262939508,Urban-selected
Urban46,3.440677966101695,59,2.127816763,Urban-selected
Urban47,1.5454545454545454,55,1.366263631,Urban-selected
Urban49,1.7321428571428572,56,1.26093452,Urban-selected
Urban5,1.6862745098039216,51,1.169342022,Urban-selected
Urban50,1.82,50,1.552391315,Urban-selected
Urban6,1.537037037037037,54,1.159011443,Urban-selected
Urban7,1.4528301886792452,53,1.169342022,Urban-selected
Urban8,2.4727272727272727,55,1.640887084,Urban-selected
Urban9,2.4,60,1.610610543,Urban-selected
