,Hue,SDHue,Bright,SDBright,Saturaton,SDSat,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,MeanTexture,SDTexture,Entropy,EdgeCount,CornerMean,CornerSD,CornerCount,ContourMeanLength,ContourSDLength,ContourMeanArea,ContourSDArea,ContourCount,AsymmetryV,AsymmetryH,KPMeanSize,KPSDSize,KPMeanStrength,KPSDStrength,KPMeanAngle,KPSDAngle,KPCount,ImageName,Category,sky,grass,plant,water,fence,path,river,bench,pole,building,tree,earth,rock,streetlight,wall,signboard,sidewalk,railing,road,person,mountain
0,58.52464375,39.10220546020714,115.20865,77.39387951259992,83.66869166666666,71.97434853674095,1193.9739287498155,20.08478876606175,0.16477809755960762,0.01438449247623191,0.8947021416461097,107.14924384272216,75.44961127526335,9.604814604447924,0.20527083333333335,128.85705558949297,60.186761619870154,1637,48.503251936994246,138.23076594384668,12.168064709406831,53.73946094985465,3338,50.581379166666665,107.70494583333333,3.467147104034262,3.86216990897338,0.03260759240678392,0.017593253401768025,185.85064172855044,102.57032153068374,5188,MDS10,Nature,0.1240234375,0.06103515625,0.49114990234375,0.01141357421875,0.00128173828125,0.00018310546875,0.00048828125,0.003173828125,0.00030517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,36.51409375,31.178703958517545,131.19611666666665,63.96826932096664,62.6564875,50.81963415678049,1495.653323420665,25.168608969222966,0.09401527534665965,0.014877494192444935,0.800040262968606,122.35003422622778,61.25173163997685,9.972833027088813,0.27329166666666665,123.40772708590218,52.02172210123822,2433,54.8328285001193,446.61203457246023,17.567617054669107,225.79943500203478,3823,59.64317916666667,67.77644583333333,3.6145468545115853,3.7309993738777902,0.03149296387637712,0.01418165185829973,178.71546850130804,98.53438029526795,6732,MDS117,Nature,0.05419921875,0.0,0.07061767578125,0.0,0.0,0.0023193359375,0.0,0.0,0.0,0.0399169921875,0.1380615234375,0.2352294921875,0.45947265625,6.103515625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,57.08474375,41.03701682319069,99.35800416666666,81.8221237126609,74.46161041666667,62.79678140961174,1207.0445006730495,17.801177181126853,0.21750550117062978,0.022489244667365,0.8930408095985862,90.94551362305745,75.11117345896375,9.079076929991809,0.16396875,109.94477317554241,58.44061344448524,1521,43.83456113031791,150.6848851125006,11.807918395573997,53.33482519309358,2892,68.15802916666667,84.14372083333333,4.037773696856645,7.361856953835304,0.038508577763481294,0.022204426148315193,185.9006071133217,102.66265722728035,3813,MDS12,Nature,0.21368408203125,0.4315185546875,0.027587890625,0.0689697265625,0.0018310546875,0.0,0.01611328125,0.0,0.000244140625,0.00494384765625,0.221923828125,0.0010986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,52.443702083333335,29.281357289429835,142.52402708333332,83.66496724156772,103.64643958333333,55.70984444376445,251.8543672552724,8.24413724928641,0.2832708197559851,0.052483164678441316,0.9793107298092738,129.27069110822876,77.94125263216803,8.159629535794375,0.11872291666666666,78.99478001491424,31.024021429171007,1341,65.5371365429159,134.74307979855098,13.72890365448505,92.04509003632243,1505,22.277725,120.12176666666667,3.2045084363069543,5.503159636493396,0.019911456844691745,0.010699535078946993,178.73609739094113,99.09199174138836,1211,MDS124,Nature,0.34149169921875,0.5367431640625,0.0,0.0,0.0,0.0,0.0,0.0614013671875,0.0,0.0,0.06005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,44.63305,35.81512764923271,137.89602708333334,53.91266591333246,179.16573333333332,56.95956273207238,887.2400501758622,18.088579183196295,0.09875069828507965,0.010451922459353384,0.8247025703787255,117.15863881930161,50.304298556233185,9.5946926655886,0.16891458333333334,126.42833517089305,44.65678365170047,1814,74.03644447234666,178.96960102020358,17.676312968917472,74.45251042936957,1866,59.289629166666664,50.8080625,4.665313278617368,4.173721729259195,0.028168863454361037,0.013777361894823799,182.0650582093046,104.55753639205469,4974,MDS139,Nature,0.0,0.0,0.5069580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36749267578125,0.0,0.00225830078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,30.18025,11.77428985562045,109.29837291666666,58.13876257012986,172.6067375,56.94518788952022,1139.8662609037501,23.793559562261564,0.07039602163583025,0.014591793570530063,0.8047122680151428,95.43343704547117,54.12620850860627,9.87072766076446,0.322975,107.4305812661977,55.10264473228969,2701,62.554920657308074,421.84706115434983,26.72578463203463,320.63110446359804,3696,61.6921375,54.02964583333333,3.2385224836545254,3.723097283977684,0.0284126408384267,0.01227152306460412,181.96447414783162,101.10939538679051,8720,MDS140,Nature,0.03558349609375,0.0,0.28826904296875,0.0,0.0,0.05963134765625,0.0,0.00091552734375,0.0,0.0,0.498046875,0.08868408203125,0.009765625,0.0,0.0093994140625,0.00018310546875,0.0,0.0,0.0,0.0,0.0
6,17.817591666666665,26.97003565131615,107.88618958333333,47.278379300398946,118.17335208333333,41.554525790081364,592.7312522094469,15.253547153486586,0.10948389700017466,0.01574050207828925,0.8399792937430113,86.01560012630594,43.095481689766636,8.939320366575144,0.21354583333333332,104.84088127294982,40.80095649961826,2451,74.34833689708755,195.11217778407004,27.55,118.69346360220007,2120,43.639858333333336,42.00351666666667,3.0175751901733188,2.661796775461913,0.023496501964557236,0.009484302588966615,177.82538057107192,105.71203236660442,8320,MDS142,Nature,0.03228759765625,0.0,0.0,0.0,0.0,0.08270263671875,0.0,0.0,0.0,0.0,0.37353515625,0.511474609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,29.8782125,43.57529088988595,143.8501,55.30856591273483,115.98052291666667,50.5802158479633,851.4003393263304,19.12936866258864,0.0887466898575352,0.010603961912734636,0.8303328218885441,116.89060353292774,50.14940770382287,9.557078919933174,0.24471666666666667,134.59684684684686,44.482412986850214,2664,73.4109248534661,258.35588251987514,28.091480730223125,195.30500006695758,2465,52.829995833333335,51.473079166666665,3.257314021375269,2.9376247255761534,0.026267218265865498,0.011232759153288377,179.24326672988718,101.00760109285363,9993,MDS143,Nature,0.053955078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69940185546875,0.24664306640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20.248716666666667,20.396380459607425,136.47661458333334,47.605579975344845,120.69225416666667,44.41650641937146,871.0153258840195,18.90017868469208,0.09453504148484662,0.011624945043841832,0.755005600042179,112.97892982284132,42.32440144590748,9.427626303861121,0.23178333333333334,137.62184189079053,43.828856372099956,2454,65.71142140861157,217.47202793589113,22.733181299885974,108.05802932562642,2631,41.21030416666667,44.7466375,3.2480253439957334,3.235132339449214,0.02704718382222597,0.011699714092736263,178.42588751881394,100.13618466865626,9700,MDS144,Nature,0.0181884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646240234375,0.149658203125,0.0,0.0,0.00299072265625,0.0,0.18292236328125,0.0,0.0,0.0,0.0
9,29.760308333333334,5.782612406020646,117.62716458333334,61.30313756246151,160.6807375,36.859360138090125,672.9610944824724,17.42260797904708,0.08148779891441316,0.010891994399043281,0.8861299783593072,105.14863935153815,54.35086150254837,9.510236726002324,0.2532979166666667,117.03279968762202,50.411114397844656,2561,60.57584506701143,354.55354233323806,18.882178526841447,218.52701316889278,3204,30.555433333333333,76.34155,3.4570074071590686,4.025830431252243,0.024425018172297547,0.009847968864711412,169.20418497639517,100.2160085822072,4972,MDS179,Nature,0.0,0.4522705078125,0.0089111328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5382080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
